Name,Price,Image_URL,Category
Asham 5/32 Inch Slider Disk,$58.95,,https://thecurlingstore.com/cdn/shop/products/medwhtdisk_300x300.jpg?v=1558970839,Footwear
Men's Hardline M Series Curling Shoes,$358.95,,https://thecurlingstore.com/cdn/shop/files/HL-MSBLK-M_01-07_300x300.png?v=1756074370,Footwear
Women's Goldline Storm Gen 2 Curling Shoes,$229.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Women's BalancePlus 904 Curling Shoes,$369.95,,https://thecurlingstore.com/cdn/shop/files/900-series-side-by-side_09def11e-ab15-4390-af8b-0433ee2c3d93_300x300.png?v=1693850242,Footwear
Women's Goldline Momentum Rush Gen 2 Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MRSH2-W_01-01_6bcf6d9e-8c58-486a-8e39-95330fc32645_300x300.png?v=1755559541,Footwear
Men's BalancePlus 700 Stick Curling Shoes,$154.95,,https://thecurlingstore.com/cdn/shop/files/700-grey-side-by-side1_300x300.jpg?v=1724527919,Footwear
Women's BalancePlus 700 Stick Curling Shoes,$154.95,,https://thecurlingstore.com/cdn/shop/files/700-grey-side-by-side1_300x300.jpg?v=1724527919,Footwear
Women's Goldline Momentum Dash Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MDASH-M_01-04_c077939c-4292-488b-bb38-c1bb352acd2b_300x300.jpg?v=1693784304,Footwear
Women's Hardline W Series Curling Shoes,$358.95,,https://thecurlingstore.com/cdn/shop/files/HL-MSBLK-M_01-07_b39541bf-7266-42aa-8ea5-c5fbd8f2da5f_300x300.png?v=1756074493,Footwear
Women's BalancePlus Delux Curling Shoes,$399.95,,https://thecurlingstore.com/cdn/shop/products/delux_500x500_5bbcfacf420f7-jpg-keep-ratio_300x300.jpeg?v=1559133634,Footwear
Goldline Momentum Gripper Pods (set of two),$29.95,,https://thecurlingstore.com/cdn/shop/files/MDSET-GRP_01-01_300x300.png?v=1736617752,Footwear
Sliding Tape,$44.95,,https://thecurlingstore.com/cdn/shop/products/Sliding_Tape_4e4475780b828_500x500_5c09801deffee-jpg-keep-ratio_300x300.jpeg?v=1557233505,Footwear
Women's Goldline Cyclone Gen 2 Curling Shoes,$269.95,,https://thecurlingstore.com/cdn/shop/files/CYCL2-M_01-05_300x300.png?v=1725303139,Footwear
Men's Goldline Momentum Force Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MFRCE-M_01-01_300x300.png?v=1756137490,Footwear
Gripper Application,$39.95,,https://thecurlingstore.com/cdn/shop/products/Gripper_Applicat_4e825ebf4a9b5_500x500_5c09803076a6b-jpg-keep-ratio_300x300.jpeg?v=1559061779,Footwear
Flat Slider Application,$74.95,,https://thecurlingstore.com/cdn/shop/products/Flat_Slider_Appl_4e825e51b878c_500x500_5c0980417fd11-jpg-keep-ratio_300x300.jpeg?v=1557231421,Footwear
Women's Goldline Momentum Force Curling Shoes,$244.95,,https://thecurlingstore.com/cdn/shop/files/MFRCE-M_01-01_300x300.png?v=1756137490,Footwear
