Name,Price,URL,Image_URL,Category,Description
Hardline Curling Broom,Regular price$189.95,https://thecurlingstore.com/collections/brooms/products/hardline-curling-broom,https://thecurlingstore.com/cdn/shop/files/HL-CFICE-STA_01-01_300x300.png?v=1756076533,Brooms,The hottest curling brush on the market.
Goldline Fiberlite Impact Curling Broom,Regular price$139.95,https://thecurlingstore.com/collections/brooms/products/goldline-fiberlite-impact-curling-broom,https://thecurlingstore.com/cdn/shop/files/FLIMP_01-01_300x300.jpg?v=1693847151,Brooms,NEW for 2023Goldline's Fiberlite Impact broom is the ultimate combination of high performance and ease of use available at an unbeatable price
Goldline Impact Carbon Fiber Curling Broom,Regular price$189.95,https://thecurlingstore.com/collections/brooms/products/goldline-impact-curling-broom,https://thecurlingstore.com/cdn/shop/products/CFIMP_01-01_300x300.jpg?v=1663607254,Brooms,Goldline’s Carbon Fiber Impact broom merges high performance with an ease of use that is unrivalled in curling.
BalancePlus Litespeed Broom with RS Head,Regular price$185.95,https://thecurlingstore.com/collections/brooms/products/balanceplus-litespeed-broom,https://thecurlingstore.com/cdn/shop/products/litespeed_500x500_5c06c5d19742b-png-keep-ratio_300x300.png?v=1599679115,Brooms,The lightest broom available on the market.
Hardline Specialty Broom,Regular price$199.95,https://thecurlingstore.com/collections/brooms/products/hardline-specialty-broom,https://thecurlingstore.com/cdn/shop/files/HL-CFICE-SPE_01-01_300x300.png?v=1756078151,Brooms,All the features of the super popular Hardline Carbon Fibre with exciting new designs.
BalancePlus Comp-Lite Broom with RS Head,Regular price$119.95,https://thecurlingstore.com/collections/brooms/products/copy-of-balanceplus-complite-broom-with-rs-head,https://thecurlingstore.com/cdn/shop/files/complite-BK_300x300.png?v=1693265408,Brooms,A design that uses a mix of both carbon fibre and fibreglass to achieve a weight that is between the two other models.
